Length 1B,,,,,Length 59,,,
1.045,1.096,1.124,1.158,,1.571,1.277,1.536,1.511
0.988,1.147,0.932,1.101,,1.145,0.856,1.224,1.315
0.101,0.091,0.097,0.108,,0.169,0.132,0.228,0.177
0.141,0.212,0.144,0.187,,0.184,0.147,0.153,0.179
0.125,0.11,0.127,0.098,,0.196,0.125,0.168,0.167
0.145,0.207,0.164,0.157,,0.165,0.165,0.23,0.2
0.104,0.1,0.129,0.198,,0.132,0.23,0.235,0.135
,,,,,,,,
Length 4,,,,,Length 85,,,
1.355,1.075,1.144,1.389,,1.246,1.695,1.365,1.251
1.324,1.267,1.318,1.382,,1.018,1.302,0.983,1.059
0.175,0.103,0.149,0.192,,0.157,0.144,0.105,0.104
0.135,0.205,0.178,0.163,,0.105,0.127,0.105,0.117
0.166,0.149,0.145,0.201,,0.138,0.21,0.14,0.129
0.147,0.165,0.152,0.18,,0.13,0.132,0.102,0.138
0.147,0.127,0.086,0.153,,0.232,0.224,0.178,0.19
,,,,,,,,
Length 8,,,,,,,,
1.265,1.428,1.519,1.423,,,,,
1.072,1.342,1.283,1.459,,,,,
0.175,0.162,0.183,0.195,,,,,
0.154,0.168,0.185,0.21,,,,,
0.149,0.218,0.208,0.188,,,,,
0.158,0.136,0.147,0.184,,,,,
0.129,0.098,0.221,0.203,,,,,
,,,,,,,,
Length 58 (quarter),,,,,,,,
1.514,1.957,1.233,1.41,,,,,
1.24,1.615,1.238,1.463,,,,,
0.204,0.315,0.206,0.257,,,,,
0.163,0.239,0.134,0.151,,,,,
0.208,0.185,0.188,0.207,,,,,
0.143,0.266,0.152,0.14,,,,,
0.101,0.182,0.098,0.156,,,,,
