Length 1B,,,,,Length 56,,,,,Length 85,,,
0.938,1.034,0.981,,,0.95,,,,,1.304,1.689,1.095,1.054
0.935,1.009,0.862,,,0.892,,,,,0.952,1.349,1.13,1.031
0.088,0.107,0.109,,,0.137,,,,,0.101,0.193,0.117,0.165
0.166,0.137,0.137,,,0.139,,,,,0.15,0.248,0.179,0.178
0.096,0.114,0.069,,,0.136,,,,,0.136,0.143,0.168,0.138
0.133,0.106,0.128,,,0.193,,,,,0.167,0.221,0.123,0.137
0.038,0.085,0.159,,,0.075,,,,,0.088,0.205,0.205,0.136
,,,,,,,,,,,,,
Length 4,,,,,Length 58,,,,,,,,
1.256,1.447,1.175,1.098,,1.097,1.1,1.273,1.578,,,,,
1.332,1.447,1.332,1.149,,1.077,0.956,1.264,1.461,,,,,
0.215,0.187,0.169,0.17,,0.142,0.157,0.215,0.219,,,,,
0.158,0.177,0.146,0.147,,0.141,0.107,0.101,0.176,,,,,
0.194,0.208,0.203,0.164,,0.161,0.182,0.199,0.19,,,,,
0.127,0.21,0.14,0.125,,0.151,0.103,0.131,0.143,,,,,
0.086,0.168,0.066,0.122,,0.114,0.154,0.107,0.206,,,,,
,,,,,,,,,,,,,
Length 8,,,,,Length 59,,,,,,,,
1.299,1.208,1.25,1.544,,1.616,1.74,1.934,1.546,,,,,
1.178,1.147,1.164,1.239,,1.209,1.354,1.436,1.247,,,,,
0.186,0.169,0.162,0.18,,0.176,0.262,0.218,0.197,,,,,
0.137,0.16,0.177,0.194,,0.149,0.181,0.246,0.158,,,,,
0.144,0.172,0.165,0.156,,0.222,0.206,0.254,0.243,,,,,
0.166,0.144,0.147,0.197,,0.131,0.167,0.211,0.194,,,,,
0.195,0.119,0.115,0.109,,0.14,0.12,0.195,0.101,,,,,
