Length 85,,,,,Length 8,,,
1.108,0.963,0.831,1.154,,1.396,1.342,1.248,1.561
1.041,0.783,0.718,1.003,,1.463,1.237,1.258,1.455
0.131,0.102,0.084,0.124,,0.231,0.151,0.15,0.177
0.127,0.187,0.13,0.128,,0.133,0.197,0.183,0.173
0.143,0.104,0.131,0.129,,0.216,0.133,0.15,0.199
0.147,0.141,0.109,0.105,,0.163,0.258,0.158,0.192
0.112,0.051,0.13,0.102,,0.15,0.101,0.128,0.139
,,,,,,,,
Length 59,,,,,,,,
1.22,1.493,1.479,1.777,1.377,1.535,2.005,1.946,
0.972,1.239,1.118,1.362,1.21,1.241,1.435,1.518,
0.182,0.216,0.209,0.243,0.194,0.2,0.243,0.267,
0.103,0.101,0.123,0.196,0.146,0.143,0.157,0.169,
0.164,0.254,0.198,0.238,0.247,0.233,0.23,0.272,
0.128,0.148,0.129,0.172,0.131,0.133,0.141,0.136,
0.116,0.089,0.174,0.187,0.098,0.108,0.201,0.255,
,,,,,,,,
Length 58,,,,,,,,
0.934,2.406,1.322,1.088,,,,,
0.787,1.492,1.27,1.033,,,,,
0.102,0.232,0.163,0.186,,,,,
0.134,0.267,0.159,0.137,,,,,
0.124,0.228,0.192,0.124,,,,,
0.111,0.274,0.124,0.138,,,,,
0.153,0.171,0.199,0.085,,,,,
